,_id,cat,description,name,purchases_Y15/M08,purchases_Y15/M09,purchases_Y15/M10,purchases_Y15/M11
27,0100-000401-0008732,"[""uncategorised""]","A baked denim cutoff skirtall with distressed details & a bib. Side button closure. Hip & back pockets. Adjustable straps. Classic fit through hip & thigh.
			Size 3/4 skirt is approx. 11 in. length from waist to hem
			78% cotton, 21% polyester, 1% spandex
			Machine washable
			Model wears size 3/4
			Imported
			STYLE: 0100-000401-0008732",White Baked Denim Skirtall,0.0,0.0,0.0,0.0
28,0101-000669-0003025-0046,"[""girls"",""dresses"",""skater-dresses""]","A skater dress that beguiles with its charms. Crafted lovingly with paisley lace, this mini dress features a see-through floral crochet at the waistline. It finishes off with a flared skirt for an ultra-feminine look.
			Lined; built-in slip
			Hidden side zip
			Self/contrast: 100% polyester
			Machine wash 
			Model wears size Small
			Imported
			STYLE: 0101-000669-0003025",Navy Floral Lace Illusion Skater Dress,7.0,62.0,126.0,17.0
29,0101-000786-0001888,"[""girls"",""dresses"",""party-dresses""]","A springy ponte tank dress with a 3-tiered chevron chiffon ruffle skirt & a wide elastic belt with a faux leather buckle. Scoop neck, lining.
			Self - 89% polyester, 7% rayon, 4% spandex; Combo - 100% polyester
			Machine washable
			Model wears size Small
			Made in the U.S.A.
			STYLE: 0101-000786-0001888",Coral Ponte 3-Tier Chevron Dress,0.0,0.0,0.0,0.0
30,0101-000786-0001890,"[""girls"",""dresses"",""party-dresses""]","A springy ponte tank dress with a 3-tiered leopard chiffon ruffle skirt & a wide elastic belt with a faux leather buckle. Scoop neck, lining.
			Self - 89% polyester, 7% rayon, 4% spandex; Combo - 100% polyester
			Machine washable
			Model wears size Small
			Made in the U.S.A.
			STYLE: 0101-000786-0001890",Ponte 3-Tier Leopard Dress,0.0,0.0,0.0,0.0
31,0101-001077-0001224,"[""uncategorised""]","A trendy cap sleeve skater dress in allover Aztec-patterned jacquard.
			95% polyester, 5% spandex
			Machine wash
			Model wears size Small
			Imported
			STYLE: 0101-001077-0001224",Neon Orange Aztec Jacquard Skater Dress,1.0,0.0,0.0,0.0
32,0101-001110-0002447,"[""girls"",""dresses"",""bodycon-dresses""]","Show off those dangerous curves in this hot bodycon dress. Crafted with a marled knit, this dress features a cinched envelope side seam. Get out there and show them what you're made of!
			48% polyester, 48% rayon, 4% spandex
			Machine wash 
			Model wears size Small
			Imported
			STYLE: 0101-001110-0002447",Cinched Bodycon Dress,20.0,7.0,0.0,0.0
33,0101-001125-0004204,"[""girls"",""dresses"",""bodycon-dresses""]","Give a shot out to the land of the free in this hot bodycon dress. Constructed from jersey knit, this dress features a vintage American Flag print at the front. The look is complete with a metallic gold zip down the front.
			95% cotton, 5% spandex
			Machine wash 
			Model wears size Small
			Made in U.S.A.
			STYLE: 0101-001125-0004204",Americana Bodycon Dress,18.0,3.0,0.0,0.0
34,0101-001125-0008481,"[""girls"",""dresses"",""skater-dresses""]","Throw down on the dance floor in this hot mesh skater dress. Featuring a knit skirt lining and paneled knit lining at the bust, this modern fit-and-flare dress will turn heads everywhere you go.
			100% polyester
			Machine wash 
			Model wears size Small
			Made in U.S.A.
			STYLE: 0101-001125-0008481",Mesh Illusion Skater Dress,13.0,0.0,0.0,0.0
35,0101-001125-0008922,"[""girls"",""dresses"",""mini-dresses""]","Why wait for a special occasion to rock this cute knit dress? Sleeveless and featuring a relaxed build of soft jersey knit with a mock neck. Paired with the right pieces and this dress can go from casual to night wear in a heartbeat.
			96% rayon, 4% spandex
			Machine wash 
			Model wears size Small
			Made in U.S.A.
			STYLE: 0101-001125-0008922",Black Mock Neck Solid Mini Dress,2.0,1.0,0.0,0.0
36,0101-001125-0009110-0087,"[""girls"",""dresses"",""midi-dresses""]","It's okay to get all wrapped up with this cute dress. Designed with an airy knit, featuring a tulip wrapped skirt and surplice split top. 
			82% polyester, 14% rayon, 4% spandex
			Machine wash 
			Model wears size Small
			Made in U.S.A.
			STYLE: 0101-001125-0009110",Burnt Orange All Wrapped Up Tulip Dress,1.0,23.0,82.0,0.0
37,0101-001629-0004234-0046,"[""girls"",""dresses"",""mini-dresses""]","A parade of colors dance across the hemline of this dress, featuring an intricate Moroccan inspired print on an airy gauze fabric. This relaxed shift dress is complete with lightly elasticized arm openings. 
			100% polyester
			Hand wash 
			Model wears size Small
			Imported
			STYLE: 0101-001629-0004234",Navy Moroccan Escape Shift Dress,20.0,48.0,33.0,0.0
38,0101-001686-0001152,"[""girls"",""dresses"",""mini-dresses""]","This lacey beauty is going to be a summer favorite. Featuring a three-layered lace body and tube top. Complete with a crochet adjustable belt.
			Lined
			Adjustable belt
			Self: 90% nylon, 10% spandex; Contrast: 100% polyester
			Machine wash 
			Model wears size Small
			Imported
			STYLE: 0101-001686-0001152",Salmon Tiered Lace Belted Dress,9.0,15.0,0.0,0.0
39,0101-001693-0007831,"[""uncategorised""]","Celebrate your feminine chic in this party-perfect skater dress with 3/4 sleeves, front scoop neck, and a soft flocked floral print.
			62% spun polyester, 35% polyester, 3% spandex
			Dry clean only
			Model wears size Small
			Made in the U.S.A.
			STYLE: 0101-001693-0007831",Black Flocked Floral Skater Dress,1.0,0.0,0.0,0.0
40,0101-001749-0004288,"[""girls"",""dresses"",""bodycon-dresses""]","Get ready to party the night away in this bodycon dress. Made of a soft scuba knit with a colorful jeweled design. Complete with neon pink trim.
			92% polyester, 8% spandex
			Machine wash 
			Model wears size Small
			Made in U.S.A.
			STYLE: 0101-001749-0004288",Gemmed Out Halter Bodycon Dress,8.0,9.0,0.0,0.0
41,0101-001749-0004290,"[""girls"",""dresses"",""bodycon-dresses""]","A scuba knit bodycon dress to help you find that special someone. Designed with a floral and tribal pattern with ""Just Wanna Be In Love"" printed across the front. Complete with a zip accented, open envelope cut back.
			92% polyester, 8% spandex
			Machine wash 
			Model wears size Small
			Made in U.S.A.
			STYLE: 0101-001749-0004290",In Love Bodycon Dress,4.0,20.0,0.0,0.0
42,0101-001752-0001004,"[""girls"",""dresses"",""party-dresses""]","Walk into the room and blow the crowd away in this gorgeous chiffon dress. Featuring an adjustable, cross-front and layered tank top with a sweetheart neckline. The look is complete with a flowing cinched chiffon skirt.
			Lined; built-in cups
			Back zip 
			100% polyester
			Dry clean only
			Model wears size Small
			Imported
			STYLE: 0101-001752-0001004",Light Blue Chiffon Cross-Front Dress,12.0,0.0,0.0,0.0
43,0101-001792-0002807-0007,"[""girls"",""dresses"",""mini-dresses""]","Slide into something a bit more comfortable when the temperature outside rises with this cute knit dress. The breathable knit features a raw edge, sharkbite hemline that's perfect for showing off a little bit of leg this summer.
			95% rayon, 5% spandex
			Machine wash 
			Model wears size Small
			Made in U.S.A.
			STYLE: 0101-001792-0002807",Knit Raw Cut Sharkbite Dress,0.0,26.0,52.0,0.0
44,0107-001110-0002177,"[""girls"",""dresses"",""shirt-dresses""]","Classy and sassy collide with this cute shirt dress. The lightweight chiffon build features metallic gold button accents and a pointed collar. The dress is complete with two buttoned front flap pockets.
			Button down
			Faux leather adjustable belt
			Rolled tab sleeves
			100% polyester
			Machine wash 
			Model wears size Small
			Imported
			STYLE: 0107-001110-0002177",Tan Belted Chiffon Shirt Dress,20.0,20.0,0.0,0.0
45,0107-001110-0002364,"[""girls"",""dresses"",""shirt-dresses""]","It's time to up the ante with your Fall wardrobe this year. Combat the changing seasons with this stunning black gauze shirt dress, outfitted with an adjustable faux leather belt. Finished with rolled tab sleeves and a mandarin collar.
			Adjustable belt
			Rolled tab sleeves
			100% polyester
			Machine wash 
			Model wears size Small
			Imported
			STYLE: 0107-001110-0002364",Black Belted Shirt Dress,22.0,13.0,0.0,0.0
46,0107-001110-0002365,"[""girls"",""dresses"",""shirt-dresses""]","Start prepping your fall wardrobe with this pretty shirt dress. It's been crafted with a breezy chiffon that features a navy and neon peach tribal print. The look is finished with a faux leather belt, rolled tab sleeves and a buttoned yoke.
			Adjustable belt
			Rolled tab sleeves
			100% polyester
			Machine wash 
			Model wears size Small
			Imported
			STYLE: 0107-001110-0002365",Tribal Belted Shirt Dress,0.0,0.0,0.0,0.0
47,0107-001110-0002366,"[""girls"",""dresses"",""shirt-dresses""]","Start planning your autumn wardrobe with this pretty shirt dress. Designed with an airy woven chiffon, featuring a multi-colored chevron print. It's been outfitted with a faux leather belt, rolled tab sleeves and a buttoned yoke.
			Adjustable belt
			Rolled tab sleeves
			100% polyester
			Machine wash 
			Model wears size Small
			Imported
			STYLE: 0107-001110-0002366",Chevron Belted Shirt Dress,32.0,12.0,0.0,0.0
48,0107-001110-0002367,"[""girls"",""dresses"",""shirt-dresses""]","Switch up your wardrobe with this stunning shirt dress. Crafted with breezy gauze in black, featuring delicate pink rose prints and a faux leather belt. The rolled tab sleeves and buttoned mandarin collar finish this feminine Fall look.
			Adjustable belt
			Rolled tab sleeves
			100% polyester
			Machine wash 
			Model wears size Small
			Imported
			STYLE: 0107-001110-0002367",Pink Rose Belted Shirt Dress,20.0,24.0,0.0,0.0
49,0107-001110-0002735,"[""girls"",""dresses"",""skater-dresses""]","Clear out your schedule and plan a relaxing day out in this pretty skater dress. Crafted with a soft knit, this dress flares out from the waist and is complete with a braided, faux leather belt.
			Adjustable belt
			95% polyester, 5% spandex
			Machine wash 
			Model wears Small
			Imported
			STYLE: 0107-001110-0002735",Burgundy Burgundy Belted Skater Dress,8.0,3.0,0.0,0.0
50,0107-001110-0002841,"[""girls"",""dresses"",""mini-dresses""]","A casual, yet sleek and modern dress for the gal on-the-go. This jersey knit dress, crafted in solid black, features elbow length sleeves and a handkerchief cut hemline.
			95% rayon, 5% spandex
			Machine wash 
			Model wears size Small
			Imported
			STYLE: 0107-001110-0002841",Black Jersey Knit Hanky Dress,16.0,19.0,0.0,0.0
51,0107-001110-0002842,"[""girls"",""dresses"",""mini-dresses""]","For a look that's as free-loving as your personality, get ready to rock this tent dress. Designed with soft jersey knit and crafted with a relaxed and loose-fitting build. Striped with navy and charcoal gray and complete with mid-length sleeves.
			95% rayon, 5% spandex
			Machine wash
			Model wears size Small
			Imported
			STYLE: 0107-001110-0002842",Burgundy Wide Striped Tent Dress,30.0,35.0,0.0,0.0
52,0109-001127-0003254,"[""accessories"",""bags-and-wallets"",""bags"",""satchels""]","This sophisticated satchel is constructed from a sleek faux leather. It features a metallic turnkey front pocket and enough space to keep all of your possessions in their proper place.
			By Rampageå¨
			Measures 11.85 in. high x 11 in. wide base
			Zip closure
			Interior zip compartment and pockets
			Adjustable strap
			Man-made materials
			Imported
			STYLE: 0109-001127-0003254",Navy Turnkey Satchel By Rampageå¨,11.0,57.0,0.0,0.0
53,0109-001494-0003142,"[""accessories"",""bags-and-wallets"",""bags"",""crossbody-bags""]","We love the structured look and feel of this boxy faux leather mini cross body bag. It features an oversized gold tone decorative padlock dangling from the front, with pyramid stud accents.
			Approx. 5.5 in. high x 7.5 in. wide x 3 in. deep
			Zip closure
			Shoulder strap
			Internal zip compartment
			Striped woven lining
			Man-made materials
			Imported
			STYLE: 0109-001494-0003142",Coral Pad Lock & Pyramid Stud Mini Cross Body,0.0,0.0,0.0,0.0
54,0111-000063-0000720,"[""accessories"",""belts""]","Buckle down and conquer in this edgy faux leather belt. Features a 5 tiered split design with vintage stud and rings accents at the front.
			Approx. 5 in. high at front
			Elastic back with double snap closure
			Man-made materials
			Imported
			STYLE: 0111-000063-0000720",Studded Gladiator Belt,5.0,1.0,0.0,0.0
55,0114-000203-0003031,"[""accessories"",""hats-and-beanies""]","Don't let the weekdays get you down, keep it cranked up to the max in this black baseball hat. Features ""Turn Down For What"" in raised embroidery across the front.
			Adjustable hook and loop fit
			100% cotton
			One size fits most
			Imported
			STYLE: 0114-000203-0003031",Turnt Up Baseball Hat,0.0,0.0,0.0,0.0
56,0127-001127-0006730,"[""accessories"",""tech"",""selfie-sticks""]","Selfie fanatics rejoice! This incredibly handy selfie stick allows you to take stunning self portraits at an ideal distance. No more T-rex arms!
			Compatible with Galaxy S5 and other similar devices
			Compatible with iPhone 4/4S/5/5C/5S/6
			Printed grip with easy shutter button
			Extends up to 32 in. long
			Adjustable clasp
			Universal jack
			Attached corded handle for easy carrying
			STYLE: 0127-001127-0006730",Emoji One-Touch Selfie Stick,1.0,0.0,0.0,0.0
57,0127-001127-0006761,"[""accessories"",""tech"",""selfie-sticks""]","Selfie fanatics rejoice! This incredibly handy selfie stick allows you to take stunning self portraits at an ideal distance. No more T-rex arms!
			Compatible with Galaxy S5 and other similar devices
			Compatible with iPhone 4/4S/5/5C/5S/6
			Printed grip with easy shutter button
			Extends up to 32 in. long
			Adjustable clasp
			Universal jack
			Attached corded handle for easy carrying
			STYLE: 0127-001127-0006761",Galaxy One-Touch Selfie Stick,2.0,0.0,0.0,0.0
58,0127-001127-0006966,"[""accessories"",""tech"",""selfie-sticks""]","Strike a pose and smile big! This handy selfie stick allows you to take stunning self portraits at an ideal distance. The handle grip features gray chevron print and a convenient shutter button.
			Compatible with Galaxy S5 and other similar devices
			Compatible with iPhone 4/4S/5/5C/5S/6
			Printed grip with easy shutter button
			Extends up to 32 in. long
			Adjustable clasp
			Universal jack
			STYLE: 0127-001127-0006966",Gray Chevron Shutter Button Selfie Stick,3.0,0.0,0.0,0.0
59,0127-001411-0004000-0001,"[""accessories"",""tech"",""tech-accessories""]","The perfect selfie is a just a point and click away with this handy shutter button! Designed to connect wirelessly via Bluetooth so that you can capture the best moments with ease.
			Bluetooth range up to 30 ft.
			Compatible with most mobile smartphone devices
			Includes battery: cr2032 xl cell
			Measures: 50mm x 35mm x 10.5 mm
			Imported
			STYLE: 0127-001411-0004000",Black Wireless Selfie Shutter Button,1.0,38.0,21.0,0.0
60,0133-001243-0000501-0010,"[""accessories"",""decor-and-gifts"",""wall-art"",""canvases-and-wood""]","Don't leave your walls bare! Decorate them to your liking with this cute wooden wall hanging, featuring ""Dream"" in a metallic gold print.
			Measures 2 in. high x 15 in. wide
			Imported
			STYLE: 0133-001243-0000501",Dream Wooden Wall Hanging,2.0,65.0,6.0,0.0
61,0133-001243-0003333,"[""accessories"",""decor-and-gifts"",""wall-art"",""canvases-and-wood""]","Spice up your bare walls with this fun and colorful printed stretched canvas. It features the inspiring text ""Hello Beautiful"" in elegant script, bordered by beautiful floral print.
			Approx. 10 in. x 7.5 in.
			Built-in hook for easy hanging
			Canvas over wooden frame
			Imported
			STYLE: 0133-001243-0003333",Hello Beautiful Floral Stretched Canvas,13.0,14.0,0.0,0.0
62,0133-001243-0008080-0090,"[""accessories"",""decor-and-gifts"",""lights"",""night-lights""]","Create a soft, warm glow in any room with this nightlight decorated as a sunglasses-sporting emoji. Can be plugged into any standard 100-127 V power outlet.
			Measures 3.25 in. in diameter
			On/Off Switch
			60Hz / 120VAC
			Maximum 7 watt C7 Bulb
			STYLE: 0133-001243-0008080",Too Cool Emoji Nightlight,2.0,44.0,35.0,0.0
63,0133-001766-0002000,"[""accessories"",""decor-and-gifts"",""bedding""]","Create a space that tells your story with this colorful comforter set. Made of woven microfiber and featured in galaxy print with a heart-shaped dreamcatcher motif, this cozy bedding set fits a standard full or queen sized bed.
			Switch it up by mixing and matching two different sets!
			2 standard pillow shams
			1 comforter
			100% microfiber
			Machine wash
			Imported
			STYLE: 0133-001766-0002000",Full/Queen - Heart Dreamcatcher Comforter Set,18.0,5.0,26.0,0.0
64,0143-000104-0008882,"[""accessories"",""socks-and-tights"",""socks""]","Cuddle up with the cute blue owls on these soft crew socks. The cuff is made of a cozy knit while the body and heel are made of a super plush fuzzy material so soft you'll never want to take them off.
			98% polyester, 2% spandex
			Machine wash
			One size fits most
			Imported
			STYLE: 0143-000104-0008882",Owl Be Friends Fuzzy Socks,14.0,0.0,0.0,0.0
65,0143-000203-0005177,"[""accessories"",""socks-and-tights"",""socks""]","Grab your schoolbooks at meet us by the lockers. This pair of flat knit over-the-knee socks is your perfect schoolday companion. Featuring classic stripes, they go perfectly with pep rallies and even AP Biology.
			97% polyester, 3% spandex
			Hand wash
			One size fits most
			Imported
			STYLE: 0143-000203-0005177",Gold Striped Black Over-the-Knee Socks,21.0,3.0,0.0,0.0
66,0150-000575-0000707,"[""shoes"",""girls-shoes"",""heels""]","Girl, you're smoking hot in this dance-ready glittery heel. Made with allover tinsel-textured fabric, it features caged straps covered with sparkling baguette faux gems for an extra bit of glitz.
			By Bambooå¨
			Height: approx. 3.5 in. heel
			Lined footbed
			Side buckle
			Non-skid sole
			Man-made materials
			Imported
			STYLE: 0150-000575-0000707",Black Baguette Gem 3-Strap Heel By Bambooå¨,1.0,0.0,0.0,0.0
67,0150-000596-0000001-0029,"[""shoes"",""girls-shoes"",""heels""]","Flaunt your pretty toes in this beautiful heel. Crafted with sleek microsuede, featuring a peep toe and stacked heel.
			Measures 7.5 in. high, including 4 in. heel
			Side zip closure
			Lined
			Non-skid sole
			Man-made materials
			Imported
			STYLE: 0150-000596-0000001",Cognac Peep Toe Stacked Heel,2.0,11.0,17.0,81.0
68,0157-000104-0007639,"[""accessories"",""scarves""]","Wrap yourself in a small touch of elegance with this beautiful woven scarf, featuring a printed vintage lace design.
			100% polyester
			Hand wash 
			Imported
			STYLE: 0157-000104-0007639",Vintage Lace Printed Infinity Scarf,14.0,0.0,0.0,0.0
